Account,On/Off,Address,Region,City,State,Name Zip,Memo,Month,Btl / Keg Qty,750 Ml Equiv,9L CS Equiv,9L CS Equiv,Purchase Price,Total Sales
Caboose,on/off,108 S. Railroad Ave.,Richmond,Ashland,VA,23005,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/13/2019,6,6,0.5,,,
Caboose,on/off,108 S. Railroad Ave.,Richmond,Ashland,VA,23005,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/10/2020,3,3,0.25,,,
Caboose,on/off,108 S. Railroad Ave.,Richmond,Ashland,VA,23005,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/18/2020,3,3,0.25,,,
Calvert & Woodley,off,4339 Connecticut Ave NW,DC,Washington,DC,20008,Early Mountain Vineyards Virginia Chardonnay 2017,10/3/2019,24,24,2,16.67,400,
Calvert & Woodley,off,4339 Connecticut Ave NW,DC,Washington,DC,20008,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/19/2019,12,12,1,,,
Cavalier Hotel,on,4200 Atlantic Avenue,Tidewater,Virginia Beach,VA,23451,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/2/2019,12,12,1,12,144,
Cavalier Hotel,on,4200 Atlantic Avenue,Tidewater,Virginia Beach,VA,23451,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/8/2019,24,24,2,,,
Cavalier Hotel,on,4200 Atlantic Avenue,Tidewater,Virginia Beach,VA,23451,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/5/2020,24,24,2,,,
Cellar d'Or,off,136 E State St,Upstate,Ithaca,NY,14850,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,12/31/2019,33,33,2.75,,,
Chat's Liquor,off,503 8th St SE,DC,Washington,DC,20003,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/25/2019,12,12,1,,,
Chat's Liquor,off,503 8th St SE,DC,Washington,DC,20003,Early Mountain Vineyards Virginia Chardonnay 2017,12/20/2019,36,36,3,,,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",3/1/2019,3,3,0.3,,,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/2/2019,3,3,0.25,20,60,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,10/2/2019,3,3,0.25,20,60,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/2/2019,6,6,0.5,13.33,80,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/9/2019,3,3,0.25,20,60,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/9/2019,12,12,1,13.33,160,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Rosé 2018,10/9/2019,6,6,0.5,,,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/16/2019,3,3,0.25,20,60,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,10/16/2019,3,3,0.25,20,60,
Cheese Shop,on/off,410 E. Duke of Gloucester St,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/16/2019,12,12,1,13.33,160,
Chevy Chase Wine & Spirits,on,5544 Connecticut Ave NW,DC,Washington,DC,20015,Early Mountain Vineyards Virginia Chardonnay 2017,11/1/2019,12,12,1,,,
Chevy Chase Wine & Spirits,on,5544 Connecticut Ave NW,DC,Washington,DC,20015,Early Mountain Vineyards Virginia Rosé 2018,11/1/2019,12,12,1,,,
Clay Restaurant,on,285 West Broadway #330,Manhattan,New York,NY,10013,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/21/2020,12,12,1,,,
Clay Restaurant,on,285 West Broadway #330,Manhattan,New York,NY,10013,Early Mountain Vineyards Virginia Chardonnay 2017,2/21/2020,5,5,0.42,,,
Clementine Cafe,on,153 S Main St,Valley/Western,Harrisonburg,VA,22801,Early Mountain Vineyards Virginia Chardonnay 2018,2/15/2020,4,4,0.33,,,
Clementine Cafe,on,153 S Main St,Valley/Western,Harrisonburg,VA,22801,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",3/4/2020,4,4,0.33,$26.67 ,$106.67 ,
Clifton Inn,on,1296 Clifton Inn Dr,Charlottesville,Charlottesville,VA,22911,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",9/18/2019,3,3,0.25,,,
Clifton Inn,on,1296 Clifton Inn Dr,Charlottesville,Charlottesville,VA,22911,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",1/31/2020,2,2,0.17,,,
Columbia Room,on,1224 9th St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2018,10/22/2019,12,12,1,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",5/1/2019,6,6,0.5,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,Early Mountain Vineyards Virginia Chardonnay 2017,10/2/2019,24,24,2,15,360,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/15/2019,12,12,1,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/20/2019,4,4,0.33,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/20/2019,16,16,1.33,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,9,9,0.75,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",11/20/2019,3,3,0.25,,,
Commonwealth Club,on,401 W. Franklin Street,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",11/22/2019,3,3,0.25,,,
Copake Wine Works,off,69 Main Street,New York,Copake,NY,12516,Early Mountain Vineyards Virginia Chardonnay 2017,10/24/2019,3,3,0.25,,,
Copake Wine Works,off,69 Main Street,New York,Copake,NY,12516,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/24/2019,3,3,0.25,,,
Copake Wine Works,off,69 Main Street,New York,Copake,NY,12516,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/24/2019,3,3,0.25,,,
Cosmos Club,on,2121 Massachusetts Ave. NW,DC,Washington,DC,20008,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",7/25/2019,12,12,1,,,
Crystal City Wine Shop,off,220 20th St. South,NoVA,Arlington,VA,22202,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,10/4/2019,6,6,0.5,16.67,100,
Crystal City Wine Shop,off,220 20th St. South,NoVA,Arlington,VA,22202,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/10/2019,36,36,3,12,432,
Crystal City Wine Shop,off,220 20th St. South,NoVA,Arlington,VA,22202,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",11/8/2019,12,12,1,,,
Crystal City Wine Shop,off,220 20th St. South,NoVA,Arlington,VA,22202,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/3/2019,36,36,3,,,
Crystal City Wine Shop,off,220 20th St. South,NoVa,Arlington,VA,22202,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",1/7/2020,12,12,1,,,
Crystal City Wine Shop,off,220 20th St. South,NoVa,Arlington,VA,22202,Early Mountain Vineyards Virginia Petit Manseng 2018,1/31/2020,3,3,0.25,,,
Crystal City Wine Shop,off,220 20th St. South,NoVa,Arlington,VA,22202,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/31/2020,36,36,3,,,
Crystal City Wine Shop,off,220 20th St. South,NoVa,Arlington,VA,22202,Early Mountain Vineyards Virginia Rosé 2019,3/10/2020,36,36,3,,,
Crystal Palate,off,4500 Pretty Lake Avenue,Tidewater,Norfolk,VA,23518,Early Mountain Vineyards Virginia Chardonnay 2017,11/13/2019,12,12,1,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/1/2019,3,3,0.25,23.33,70,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/8/2019,3,3,0.25,23.33,70,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/11/2019,3,3,0.25,23.33,70,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/15/2019,2,2,0.17,23.33,46.67,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/22/2019,3,3,0.25,23.33,70,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/1/2019,3,3,0.25,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/5/2019,4,4,0.33,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/12/2019,3,3,0.25,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/26/2019,2,2,0.17,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",12/17/2019,4,4,0.33,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",12/27/2019,3,3,0.25,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",1/7/2020,4,4,0.33,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",1/10/2020,3,3,0.25,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/25/2020,2,2,0.17,,,
Dabney,on,122 Blagden Alley NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",3/5/2020,4,4,0.33,$26.67 ,$106.67 ,
DBGB - DC,on,931 H St. NW,DC,Washington,DC,20001,Early Mountain Vineyards Virginia Rosé 2018,10/8/2019,36,36,3,,,
DECATUR PACKAGE STORE   ,Off ,1220 Clairmont Rd,Decatur,Decatur,GA,30030,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-10,12,12,1,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/9/2019,4,4,0.33,12,48,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/9/2019,4,4,0.33,13.33,53.33,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,Early Mountain Vineyards Virginia Rosé 2018,10/9/2019,12,12,1,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/9/2019,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/8/2019,12,12,1,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/13/2019,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVA,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/13/2019,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVa,Alexandria,VA,22301,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/17/2020,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVa,Alexandria,VA,22301,Early Mountain Vineyards Virginia Petit Manseng 2018,1/17/2020,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVa,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/17/2020,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVa,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/6/2020,4,4,0.33,,,
Department of Beer & Wine,off,2724 Richmond Hwy,NoVa,Alexandria,VA,22301,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/28/2020,12,12,1,,,
DeVine,off,121 Blue Ridge Dr,Valley/Western,Wintergreen,VA,22958,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/13/2020,12,12,1,$20.00 ,$240.00 ,
DeVine,off,121 Blue Ridge Dr,Valley/Western,Wintergreen,VA,22958,Early Mountain Vineyards Virginia Petit Manseng 2018,3/13/2020,12,12,1,$16.67 ,199.99992,
Dominion Wine and Beer,on/off,107 Rowell Ct.,NoVA,Falls Church,VA,22046-3126,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/12/2019,12,12,1,,,
Dominion Wine and Beer,on/off,107 Rowell Ct.,NoVa,Falls Church,VA,22046-3126,Early Mountain Vineyards Virginia Chardonnay 2017,2/11/2020,6,6,0.5,,,
Dominion Wine and Beer,on/off,107 Rowell Ct.,NoVa,Falls Church,VA,22046-3126,Early Mountain Vineyards Virginia Petit Manseng 2018,2/11/2020,6,6,0.5,,,
Dominion Wine and Beer,on/off,107 Rowell Ct.,NoVa,Falls Church,VA,22046-3126,Early Mountain Vineyards Virginia Rosé 2019,3/19/2020,12,12,1,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",9/11/2019,3,3,0.25,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Petit Manseng 2017,10/23/2019,24,24,2,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Petit Manseng 2017,10/30/2019,12,12,1,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/30/2019,6,6,0.5,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Chardonnay 2017,11/1/2019,12,12,1,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Chardonnay 2017,2/5/2020,6,6,0.5,,,
Downtown Grille,on,201 West Main Street,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/5/2020,6,6,0.5,,,
Drink PLG,off,285 West Broadway #330,New York,Brooklyn,NY,10013,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/2/2019,48,48,4,,,
Drink PLG,off ,285 West Broadway #330,New York,Brooklyn,NY,10013,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/2/2019,48,48,4,12,576,
Duplex Diner,On,"2004 18th St, NW",DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2018,10/17/2019,24,24,2,,,
Dutch & Co.,on,400 N. 27th St.,Richmond,Richmond,VA,23223,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,1/10/2020,1,1,0.08,,,
Dutch & Co.,on,400 N. 27th St.,Richmond,Richmond,VA,23223,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/24/2020,3,3,0.25,,,
Dutch & Co.,on,400 N. 27th St.,Richmond,Richmond,VA,23223,Early Mountain Vineyards Virginia Chardonnay 2017,2/7/2020,1,1,0.08,,,
Dutch & Co.,on,400 N. 27th St.,Richmond,Richmond,VA,23223,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2017,2/12/2020,12,12,1,,,
Dutch & Co.,on,400 N. 27th St.,Richmond,Richmond,VA,23223,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/6/2020,2,2,0.17,,,
Each Peach Market,on/off,3068 Mt Pleasant St NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/15/2019,12,12,1,,,
Each Peach Market,on/off,3068 Mt Pleasant St NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/26/2019,12,12,1,,,
Each Peach Market,on/off,3068 Mt Pleasant St NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/7/2020,12,12,1,,,
Each Peach Market,on/off,3068 Mt Pleasant St NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/28/2020,12,12,1,,,
Each Peach Market,on/off,3068 Mt Pleasant St NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/10/2020,12,12,1,,,
Eli's Provisions,off,209 A Market Street SE,Valley / Western VA,Roanoke,VA,24011,Early Mountain Vineyards Virginia Chardonnay 2017,10/23/2019,3,3,0.25,,,
Eli's Provisions,off,209 A Market Street SE,Valley / Western VA,Roanoke,VA,24011,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/23/2019,3,3,0.25,,,
Eli's Provisions,off,209 A Market Street SE,Valley / Western VA,Roanoke,VA,24011,Early Mountain Vineyards Virginia Rosé 2018,10/23/2019,3,3,0.25,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Virginia Rosé 2018,10/23/2019,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/1/2019,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Virginia Chardonnay 2017,11/25/2019,6,6,0.5,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/6/2019,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,12/11/2019,6,6,0.5,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/18/2019,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,12/18/2019,2,2,0.17,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",1/8/2020,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/8/2020,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/31/2020,6,6,0.5,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",1/31/2020,12,12,1,,,
Ellwood Thompson,off,4 N Thompson St,Richmond,Richmond,VA,23221,Early Mountain Vineyards Virginia Rosé 2019,3/13/2020,12,12,1,,,
Emilie's,on,1101 Pennsylvania Ave SE,DC,Washington,DC,20003,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/1/2019,12,12,1,,,
Emilie's,on,1101 Pennsylvania Ave SE,DC,Washington,DC,20003,Early Mountain Vineyards Virginia Petit Manseng 2017,10/25/2019,1,1,0.08,,,
Enologo,on,285 West Broadway #330,Manhattan,New York,NY,10013,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/29/2020,48,48,4,,,
Enologo,on,285 West Broadway #330,Manhattan,New York,NY,10013,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",2/24/2020,48,48,4,,,
Essex Pearl,on,115 Delancey Street,New York,New York,NY,10002,Early Mountain Vineyards Virginia Petit Manseng 2017,11/22/2019,6,6,0.5,,,
Essex Pearl,on,115 Delancey Street,New York,New York,NY,10002,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",11/22/2019,6,6,0.5,,,
Essex Pearl,on,285 West Broadway #330,Manhattan,New York,NY,10013,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",1/28/2020,24,24,2,,,
Essex Pearl,on,285 West Broadway #330,Manhattan,New York,NY,10013,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",2/21/2020,48,48,4,,,
Essex Pearl,on,285 West Broadway #330,NY,Manhattan,NY,10013,Early Mountain Vineyards Virginia Petit Manseng 2018,3/3/2020,12,12,1,$16.67 ,$200.00 ,
Farmers & Distillers,on,600 Massachusetts Ave. NW,DC,Washington,DC,20001,"Early Mountain Vineyards ""Virginia Vines"" Rosé 2018",10/11/2019,24,24,2,13.33,320,
Farmers & Distillers,on,600 Massachusetts Ave. NW,DC,Washington,DC,20001,"Early Mountain Vineyards ""Virginia Vines"" Rosé 2018",3/6/2020,18,18,1.5,$13.33 ,$240.00 ,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/2/2019,6,6,0.5,20,120,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,Early Mountain Vineyards Virginia Chardonnay 2017,10/2/2019,6,6,0.5,16.67,100,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/2/2019,6,6,0.5,23.33,140,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/2/2019,6,6,0.5,13.33,80,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/2/2019,6,6,0.5,,,
Farmington,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",11/20/2019,6,6,0.5,,,
Farmington Country Club,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/20/2019,6,6,0.5,,,
Farmington Country Club,on,1625 Country Club Circle,Charlottesville,Charlottesville,VA,22901-5030,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/23/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2016,10/23/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,10/23/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Rosé 2018,10/23/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/30/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Rosé 2018,10/30/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",11/6/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/13/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/13/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/20/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,11/27/2019,4,4,0.33,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/27/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/4/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,12/4/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/4/2019,12,12,1,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/11/2019,3,3,0.25,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/11/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",12/17/2019,3,3,0.25,,,
